Cars part 1 (HO 8 Spalte 1)
automatic transmission;Automatikschaltung
manual transmission;Handschaltung
four-by-fours;Allrad
saloon/sedan;Stufenheck
hatchback;Kompaktwagen/Fließheck
convertible;Cabriolet
hard top;kein Cabrio
off-road;Geländewagen
estate/station wagon;Kombiwagen
minivan;Kleinbus
limousine;Limousine
sports car;Sportwagen
windscreen wipers;Scheibenwischer
number plate;Nummernschild
bonnet (BE)/hood (US);Kühlerhaube
boot (BE)/trunk(US);Kofferraum
tyre;Reifen
flat tyre;platter Reifen
bumper;Stoßstange
wing mirror (BE)/outside mirror (US);Seitenspiegel
headlights;Scheinwerfer
windscreen (BE)/windshield (US);Windschutzscheibe
rear windscreen (BE)/rear window (US);Heckscheibe
sunroof; Schiebedach;
front spoiler/rear spoiler;Spoiler vorne/Spoiler hinten
steering wheel;Lenkrad
accelerator;Gaspedal
to accelerate;beschleunigen
dashboard;Armaturenbrett
trim;Zierleiste
front wing (BE)/fender(US);Kotflügel
clutch;Kupplung
gear stick;Schalthebel
to change gears;schalten
brake;Bremspedal
to brake;bremsen
indicator (BE)/turn signal (US);Blinker
to indicate;blinken/anzeigen
handbrake;Handbremse
heating controls;Heizung
speedometer;Geschwindigkeitsanzeige
central locking;Zentralverriegelung
safety features;Sicherheitseinrichtungen
power steering;Servolenkung
alloy wheels;Alufelgen
wheels;Felgen
tyres;Reifen (Gummi!)
air conditioning;Klimaanlage
metallic paint;Metallic-Lack
to fasten the seatbelt;sich anschnallen
to change gear;schalten
to start the engine;den Motor starten
to take the handbrake off;die Handbremse lösen
