Cars part 2 (HO 8 spalte 2-3)
to put the headlights on;die Scheinwerfer einschalten
to protect oneself;sich schützen
to have an accident;einen Unfall haben
to run a car;ein Auto halten
road tax;Straßenbenutzungssteuer
insurance;Versicherung
comprehensive insurance;Vollkaskoversicherung
theft;Diebstahl
to pass the MOT (Ministry of Transport) Test;Pickerl bekommen
annual;jährlich
regular servicing;regelmäßiges Service
a car breakes down;Auto wird kaputt
repairs;Reparaturen
to park a car;parken
to reverse;Rückwärts fahren
parking space;Parkplatz
to turn;einbiegen
to see far enough ahead;weit genug nach vorne sehen
to overtake safely;sicher überholen
stretch of road;Straßenabschnitt
to brake hard;scharf bremsen
to push a car;ein Auto anschieben
to come by car;mit dem Auto kommen
to drive the car/bring the car;mit dem Auto fahren
to go for a drive;Spazierenfahren/Herumfahren
to make a trip for pleasure;zum Vergnügen einen Ausflug machen
to give a lift;per Autostop mitnehmen
to pick sbdy up/to pick somebody up;jemanden abholen
to drop sbdy off/to drop somebody off;jemanden hinbringen/jemanden aussteigen lassen
reliable;verlässlich
ignition;Zündung
exhaustion pipe;Auspuffrohr
wheel trim;Zierkappe
powerful;stark
to be liable for;haftbar sein für
penalties;Strafen/Bußgelder
expenses;Ausgaben
to expect;erwarten
a profit on a sale;ein Profit aus einem Verkauf
to restore;restaurieren
cars dealer;Autohändler
traffic warden;Verkehrswächter
to sue;verklagen
to add;hinzufügen
to need something done;etwas gemacht bekommen müssen
welding;Schweißarbeiten
to tow away;abschleppen/gebührenpflichtig abschleppen
value;Wert
horsepower;PS
cubic capacity;Hubraum
year of construction;Baujahr
dent;Beule
rust;Rost
to test-drive a car; ein Auto Probe fahren
make of car;Automarke
fuel type;Kraftstofftyp
fuel consumption;Kraftstoffverbrauch
petrol/petroleum;Benzin
Diesel;Diesel
RON;ROZ
unleaded;bleifrei
affordable;leistbar
to be able to afford sthg/to be able to afford something;sich etwas leisten können
passenger;Passagier/Insasse
