Globalisation Part 1
exploit;ausnützen;
exploitation;Missbrauch/Ausbeutung;
genocide;Völkermord;
politial persecution;politische Verfolgung;
violation of human rights;Menschenrechtsverletzungen;
declare war;Krieg erklären;
dictatorship;Diktatur;
totalitarian regimes;totalitäres Regime;
trade;Handel;
business;Geschäft;
pandemic;Pandemie/weltweite Krankheit;
famine;Hungersnot;
drought;Dürre;
abolish;abschaffen;
abolition;Abschaffung;
slavery;Sklaverei;
enslave;versklaven;
necessity;Notwendigkeit;
source of;Quelle von;
shame;Schande;
to grant;gewähren/zusprechen;
suffrage;Wahlrecht;
vote;wählen;
elections;Wahlen;
equality;Gleichheit/Gleichberechtigung;
equality;gleich;
impose;aufdrängen;
domination;Beherrschung;
claim;fordern/beanspruchen/behaupten;
fee;Gebühr;
preserve;bewahren/Vorbehalt;
peasant;armes Bäuerlein;
provide;zur Verfügung stellen;
dispose waste;Müll ablagern;
promote;begünstigen;
pretty disputes;läppische Streiterein;
covetousness;Habgier;
enmity;Feindschaft;
develop;entwickeln;
development;Entwicklung;
hold sacred;für heilig halten;
make something subject to;etwas einer Sache untertan machen;
declaration;Erklärung;
common;allgemein gültig/gemein;
to agree on;in etwas übereinstimmen;
involve ;mit sich bringen;
shrink;schrumpfen;
shrank;schrumpfen;
shrunk;schrumpfen;
boundaries;Grenzen;
phenomenon;Phänomen;
steam engine;Dampfmaschine;
trade route;Handelsweg;
empire;Kaiserreich;
deliberate;absichtliche;
segregation;politische Trennung;
separation;Trennung;
to remain unsolved;ungelöst bleiben;
significant;bedeutend;
advance;fortschreiten/Fortschritt;
invention;Erfindung;
library;Bibliothek;
shape;formen;
influence;Einfluss/beeinflussen;
influential;einflussreich;
curriculum;Lehrplan;
numerous;unzählige;
disease;Krankheit;
border;Grenze;
across borders;über Grenzen hinaus;
exchange;austauschen/Austausch;
facilitate;erleichtern;
tendency;Tendenz;
tend to do something;danzu neigen etwas zu tun;
establish;errichten;
establish relationships;Beziehungen entwickeln;
globe;Globus;
trade barriers;Handelsgrenzen;
developing countries;Entwicklungsländer;
developed countries;Erste Welt-Länder;
purchase;kaufen/Kauf;
purchasing power;Kaufkraft;
gap between the rich and the poor;Kluft zwischen arm und reich;
prosperity;Wohlstand;
prosper;blühen/gedeihen;
to leave behind;vernachlässigen;
profit;Gewinn;
wealth;Reichtum;
citizen;Bürger;
struggle for survival;ums Überleben kämpfen;
obviously;offensichtlich;
superior;überlegen;
inferior;unterlegen;
spread;verbreiten/Verbreitung;
improve;verbessern;
improvement;Verbesserung;
labour force;Arbeitskraftpotenzial;
refer to;sich beziehen auf;
implication;Verwicklung;
manufacture;erzeugen;
pace;Geschwindigkeit/Gangart;
accelerate;beschleunigen;
acceleration;Beschleunigung;
increasingly;zunehmend;
to be driven by;geleitet werden von;
decision;Entscheidungen;
decide;entscheiden;
decisive;entscheidend;
double;verdoppeln/Doppelte;
mediator;Vermittler;
comprise;beinhalten;
actually;tatsächlich;
currently;aktuell/momentan;
tensions;Spannungen;
mutual understanding;gegenseitiges Verständnis;
negotiate;verhandeln;
negotiation;Verhandlung;
summit meeting;Gipfeltreffen;
blue-collar workers;Handwerker;
