Globalisation Part 2
white-collar workers;Büroleute
unskilled workers;Hilfsarbeiter
share;teilen/Anteil
simultaneously;gleichzeitig
icon;Symbol/Zeichen
pollution;Verschmutzung
crime;Kriminalität/Verbrechen
deadly weapons;tödliche Waffen
show little regard for;wenig Anerkennung zeigen für
passport;Pass
interdependent;voneinander abhängig
wired;vernetzt
weird;verrückt
interact;sich austauschen
for centuries;Jahrhunderte lang
to govern;leiten/regieren
choice;Auswahl
opportunity;(günstige) Gelegenheit
familiar with;vertraut mit
diversity;Vielfalt
experience;Erfahrung/Erfahrungen machen
progress;Fortschritt/fortschreiten
force;Kraft/Macht
destroy;zerstören
destruction;Zerstörung
faced with;konfrontiert mit
persist;andauern
persistence;Fortleben
target;Ziel
poverty;Armut
injustice;Ungerechtigkeit
to safeguard;bewachen/behüten
court;Gericht
available;verfügbar
availability;Verfügbarkeit
faith;Glaube/Vertrauen
defence;Verteidigung
democracy;Demokratie
found;gründen
foundation;Stiftung
vulnerability;Verletzlichkeit
mass destruction;Massenvernichtung
law;Gesetz
treaty;Abkommen/Vertrag
internationally recognized;international anerkannt
achievement;Leistung
adopt;annehmen
victim;Opfer
earthquake;Erdbeben
press a government;eine Regierung unter druck setzen
relieve (somebody);Erleichterung/(jemanden) Erleichterung verschaffen
burden;drückende last
debts;Schulden
conscience;Gewissen
land mines;Landminen
to fail to do something;scheitern etwas zu tun
prevent;verhindern
genocide;Völkermord
hesitation;Zögern
hesitate;zögern
unprecedented;nie da gewesener
consist of;bestehen aus
issue;problematische Angelegenheit
interfering;sich einmischend/störend
to deal with;handeln von/sich kümmern um
monetary system;Geldsystem
currency;Währung
enable;ermöglichen
fight;bekämpfen/Kampf
low-interest loans;Niedrigzins Darlehen/Niedrigzins-Darlehen/Niedrigzinsdarlehen
be opposed to;gegen etwas sein
opponent;Widersacher
exploit;ausbeuten
Driving force;Antriebskraft
Engine;Motor
cut tariffs;Zölle senken
goods;Güter
unevenly distributed;ungleich verteilt
growth;Wachstum
commodities;Massenartikel/Rohstoffe
amount;Menge
aim at;zielen auf/es abgesehen haben auf
agriculture;Landwirtschaft
accounting;Rechnungswesen
outsource;auslagern
outsourcing;Auslagerung
supply chain;Versorgungskette
supply and demand;Angebot und Nachfrage
production plant;Produktionsstelle
factory;Fabrik
fabric;Gewebe
to take advantage of;sich etwas zu Nutzen machen
link;Verbindung
to ensure;sicher stellen
at any time;jederzeit
better access to;besserer Zugriff auf
recently;kürzlich
to blame;die Schuld geben/die Schuld zuschieben
labourer;Arbeiter
labour;Arbeit
desperate;verzweifelt
despair;Verzweiflung
environmental standards;Umweltstandards
complain;sich beschweren
complaint;Beschwerde
to be under attack;attackiert werden/kritisiert werden
produce cheaply;billig produzieren
child labour;Kinderarbeit
under conditions;unter Bedingungen
incredible;unglaublich
remote;entlegen
to conduct business;Geschäfte verrichten
to tailor;zurechtschneidern
claim;behaupten
assemble;zusammenbauen
assembly line/conveyor belt;Produktionsband
