Trav Tec part 2
to honk the horn;hupen
overcrowded;überfüllt
cushy seats;weiche Sitze
be equipped with;ausgestattet sein mit 
barely imaginable;kaum vorstellbar
headrest;Kopfstütze
source of revenue;Einkommensquelle
to evaluate on;auswerten auf Grundlage von 
performance;Vorführung/Leistung
fade;verblassen
differentiation;Unterscheidung
ubiquitous;allgegenwärtig
to personalize;personalisieren
appeal to;ansprechend sein für
voice-activated;sprachgesteuert
customization;Maßschneiderung 
be an integral part of;ein zentraler Teil sein von 
showroom experience;Erfahrung im Vorführraum 
be a pioneer in doing;ein Vorreiter sein bei 
a wide range of;eine große Bandbreite von 
option;Wahlmöglichkeiten 
elaborate;ausgeklügelt
to be tailored to;maßgeschneidert sein für
monitoring system;Überwachungssystem 
rear seat;Rücksitz 
in-laws;Schwiegereltern 
on long rides;auf langen Fahrten 
emerge from ;auftauchen von 
expand;ausbreiten 
congested;verstopft 
congestion;Stau 
customised at will;auf Wunsch zugeschneidert 
primarily;hauptsächlich 
urban;städtisch 
rural;ländlich 
to scale down from;sich abmessen lassen an 
focus on;focus on 
adapted to;angepasst an  
familiar;vertraut
namely;nämlich
be aware of;sich einer Sache bewusst sein
issue;Angelegenheit 
to miss the point;das Thema verfehlen 
passenger;Insasse
to squeeze into tight spaces;sich in enge Stellen quetschen 
to leech on to;sich klammern an 
widely adopted;weithina angenommen 
limited success;beschränkter Erfolg 
stackable;stapelbar 
sharable;teilbar
suspension;Aufhängung 
the need for;der Bedarf von 
spine;Wirbelsäule 
to embrace;umarmen 
detect;entdecken 
fluid;Flüssigkeiten
liquid;flüssig/Flüssigkeit
solid;fest
beyond that;darüber hinaus 
dense;dicht 
to stretch;sich ausdehnen 
to enable;ermöglichen 
conduct tests;Tests durchführen 
convincing;überzeugend 
task;Aufgabe
distracted;abgelenkt
alert;Alarm 
generated;erzeugt 
guardian angel;Schutzengel
to sense danger;Gefahr wahrnehmen 
resemblance;Ähnlichkeit 
advanced;fortgeschritten 
currently available;momentan verfügbar 
injury;Verletzung 
fatality;Todesopfer
to be involved in;einbezogen sein in 
car accident;Autounfall
two out of five;zwei von fünf 
appoximately;ungefähr
speeding;Fahren mit überhöhter Geschwindigkeit 
to result from ;entstehen aus
reckless driving ;rücksichtsloses Fahren 
to prevent;vermeiden 
latter;zuletzt genannt 
adaptive;sich anpassend
to pass a test;einen Test bestehen 
sobriety;Nüchternheit
lane;Fahrbahn
depature;verlassen
antilock brakes;Antiblockiersystem
to intervene;einschreiten 
imminent;bevorstehend
steerablity;Lenkbarkeit
to hasten;beschleunigen
deceleration;Verlangsamung
boost effectivness;Wirksamkeit vergrößern 
convenience feature;Komfortmerkmal 
to occupy;belagern
apply;anwenden 
