Unit 15
augmented;erweitert
be commonplace;gang und gäbe sein
body panel;Karosserieteil
buzzer;Summer/Buzzer
carbon fibre;Karbonfaser
cede;überlassen/abgeben
central island;Verkehrsinsel
coating;Beschichtung
composite blend;Mischung
concede;zugestehen/einräumen
coverage;Berichterstattung
dashboard;Armaturenbrett
deploy;anwenden/zum Einsatz bringen
dipping motion;senkende Bewegung
engine idling;Leerlauf
exhort;ermahnen
fleet;Wagenpark
get a move on!;Mach' weiter!/Los, gib Gas!
give way sign;Nachrangtafel
gyroscopic;Kreisel-/gyroskopisch
have the right of way;Vorrang haben
inertial system;Inertialsystem
intersection;Kreuzung
junction;Kreuzung
kerb;Randstein
merge;sich einfädeln (Verkehr)
pedestrian;Fußgänger/Fußgänerin
paraphernalia;Zubehör/Utensilien/Requisiten
resin;Drehzahlen
scratch;Kratzer/Schramme
sign-up;Einschreibung/Anmeldung/Registrierung
sniff at;die Nase rümpfen
shared space;Mischverkehrsfläche/Begegnungszone/"Begegnungszone"
spatial;räumlich/Raum-
speed bump;Bodenschwelle
speed trap;Radarfalle
stump up;blechen (ugs.)/Geld lockermachen
van;Lieferwagen
