boyfriend;Freund (eines Mädchens)
play;spielen
sister;Schwester
their;ihr/e
of course;natürlich
right;richtig
can;Dose
can;können
carry;tragen
Don't worry;Keine Sorge
heaven;Himmel
listen;zuhören
meet;treffen, sich treffen
perfect;perfekt
really;wirklich, eigentlich, tatsächlich
sing;singen
sure;sicher
try;versuchen
drink;trinken
hundred;hundert
in one go;auf einmal
Is that so?;Ach wirklich?
stand on;auf etwas stehen
tongue;Zunge
touch;berühren
walk on;auf etwas gehen
wiggle;wackeln
its;sein/e, ihr/e
girl;Mädchen
write;schreiben
What's going on?;Was ist (hier) los?
juggle;jonglieren
